Start Date,End Date,Printer Model Id,Device Ip Address,Serial Number,Model Name,Manufacturer,Is Color,Is Copier,Is Scanner,Is Fax,PPM Black,PPM Color,Launch Date,Date Adoption,Discovery Date,BLACK Prod Code OEM,BLACK Yield,BLACK Prod Cost OEM,CYAN ProdCodeOEM,CYAN Yield,CYAN Prod Cost OEM,MAGENTA Prod Code OEM,MAGENTA Yield,MAGENTA Prod Cost OEM,YELLOW Prod Code OEM,YELLOW Yield,YELLOW Prod Cost OEM,Duty Cycle,Watts Operating,Watts Idle,Start Meter Life,End Meter Life,Start Meter Black,End Meter Black,Start Meter Color,End Meter Color,Start Meter Print Black,End Meter Print Black,Start Meter Print Color,End Meter Print Color,Start Meter Copy Black,End Meter Copy Black,Start Meter Copy Color,End Meter Copy Color,Start Meter Scan,End Meter Scan,Start Meter Fax,End Meter Fax,Toner Level Black,Toner Level Cyan,Toner Level Magenta,Toner Level Yellow,Account ID,Account Name,Device Id,Device Name
12/1/2013,2/28/2014,,10.135.193.17,QHS01973,iR-ADV 4251,CANON,FALSE,FALSE,FALSE,FALSE,,,,,2/26/2014,,,,,,,,,,,,,,,,310,310,310,310,0,0,20,20,0,0,290,290,0,0,73,73,,,51,,,,5,Reed Smith,11477,PHL-28-CANON01
12/1/2013,2/28/2014,,10.135.194.10,QHS01982,iR-ADV 4251,CANON,FALSE,FALSE,FALSE,FALSE,,,,,2/26/2014,,,,,,,,,,,,,,,,123,123,123,123,0,0,19,19,0,0,104,104,0,0,69,69,,,65,,,,5,Reed Smith,11469,PHL-29-CANON01
12/1/2013,2/28/2014,,10.135.192.10,QHS01981,iR-ADV 4251,CANON,FALSE,FALSE,FALSE,FALSE,,,,,2/26/2014,,,,,,,,,,,,,,,,339,339,339,339,0,0,13,13,0,0,326,326,0,0,111,111,,,65,,,,5,Reed Smith,11470,PHL-30-CANON01
12/1/2013,2/28/2014,,10.141.192.34,HTT24211,iR-ADV 6055,CANON,FALSE,FALSE,FALSE,FALSE,,,,,7/23/2012,,,,,,,,,,,,,,,,40087,51681,40087,51681,0,0,34605,44454,0,0,5482,7227,0,0,3958,4004,,,88,,,,5,Reed Smith,9547,NYC-29-CANON1
12/1/2013,2/28/2014,,10.159.192.21,GAJ10249,iR-ADV 6055,CANON,FALSE,FALSE,FALSE,FALSE,,,,,1/14/2013,,,,,,,,,,,,,,,,115922,171867,115922,171867,0,0,111005,161700,0,0,4917,10167,0,0,6132,17409,,,100,,,,5,Reed Smith,10039,HOU-17-CANON01
12/1/2013,2/28/2014,,10.157.192.18,HTT24137,iR-ADV 6055,CANON,FALSE,FALSE,FALSE,FALSE,,,,,8/10/2012,,,,,,,,,,,,,,,,222194,270322,222194,270322,0,0,36152,48786,0,0,186042,221536,0,0,126837,159657,,,10,,,,5,Reed Smith,9611,iR-ADV 6055
12/1/2013,2/28/2014,,10.159.193.16,GAJ10654,iR-ADV 6055,CANON,FALSE,FALSE,FALSE,FALSE,,,,,1/14/2013,,,,,,,,,,,,,,,,35773,59543,35773,59543,0,0,32535,54706,0,0,3238,4837,0,0,4293,8158,,,77,,,,5,Reed Smith,10040,HOU-16-CANON02
12/1/2013,2/28/2014,,10.129.193.20,HTT24262,iR-ADV 6055,CANON,FALSE,FALSE,FALSE,FALSE,,,,,7/18/2012,,,,,,,,,,,,,,,,132972,146343,132972,146343,0,0,80190,88558,0,0,52782,57785,0,0,92797,113588,,,72,,,,5,Reed Smith,9526,GCC-12-MAILROOM
12/1/2013,2/28/2014,,10.159.192.17,HMU11403,iR-ADV 8105,CANON,FALSE,FALSE,FALSE,FALSE,,,,,1/14/2013,,,,,,,,,,,,,,,,66443,95221,66443,95221,0,0,38852,58447,0,0,27591,36774,0,0,20456,30987,,,100,,,,5,Reed Smith,10036,HOU-17-CANON04
12/1/2013,2/28/2014,,10.143.194.51,CANON8F4F4633,iR-ADV 8105,CANON,FALSE,FALSE,FALSE,FALSE,,,,,10/26/2013,,,,,,,,,,,,,,,,1778954,1778954,1778954,1778954,0,0,869523,869523,0,0,909431,909431,0,0,1061326,1061326,,,93,,,,5,Reed Smith,10822,Canon iR-ADV 8105 /P
