rmsVendorName,rmsReportVersion,clientName,rmsModelId,deviceId,manufacturer,modelName,rawModelName,managementStatus,managementProgram,serialNumber,ipAddress,isColor,isCopier,isScanner,isFax,isDuplex,ppmMono,ppmColor,introductionDate,adoptionDate,oemTonerBlackSku,oemTonerBlackYield,oemTonerBlackCost,oemTonerCyanSku,oemTonerCyanYield,oemTonerCyanCost,oemTonerMagentaSku,oemTonerMagentaYield,oemTonerMagentaCost,oemTonerYellowSku,oemTonerYellowYield,oemTonerYellowCost,dutyCycle,operatingWattage,standbyWattage,sleepWattage,startMeterLife,endMeterLife,startMeterBlack,endMeterBlack,startMeterColor,endMeterColor,startMeterPrintBlack,endMeterPrintBlack,startMeterPrintColor,endMeterPrintColor,startMeterScan,endMeterScan,startMeterFax,endMeterFax,startMeterCopyBlack,endMeterCopyBlack,startMeterCopyColor,endMeterCopyColor,startMeterA3Black,endMeterA3Black,startMeterA3Color,endMeterA3Color,tonerLevelBlack,tonerLevelCyan,tonerLevelMagenta,tonerLevelYellow,canReportTonerLevels,pageCoverageBlack,pageCoverageCyan,pageCoverageMagenta,pageCoverageYellow,discoveryDate,monitorStartDate,monitorEndDate ,lastSeenDate,location
Lexmark,1.0,BunzlDistribution,LaserJet 4250,2025,Hewlett-Packard,LaserJet 4250,LaserJet 4250,Managed,,CNRXC93449,172.20.13.205,,,,,,,,,,,,,,,,,,,,,,,,,,100399,102688,100399,102688,100399,102688,100407,102688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet Professional P1606dn,2142,Hewlett-Packard,LaserJet Professional P1606dn,LaserJet Professional P1606dn,Managed,,VND3B13199,172.20.13.150,,,,,,,,,,,,,,,,,,,,,,,,,,52878,58431,52878,58431,52878,58431,52878,58431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet P3010 Series,2152,Hewlett-Packard,LaserJet P3010 Series,LaserJet P3010 Series,Managed,,VND3Q10334,172.20.13.254,,,,,,,,,,,,,,,,,,,,,,,,,,13009,15740,13009,15740,13009,15740,13009,15740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,,,,Yes,,,,,10/20/2014,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,99,2034421,Lexmark,MS312dn,MS312dn,Managed,,451445LM2373L,172.20.13.247,,,,,,,,,,,,,,,,,,,,,,,,,,1,731,1,731,1,731,12,731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,04/28/2015,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,152,2130818,Lexmark,MS415dn,MS415dn,Managed,,451455LM27M7H,172.20.13.248,,,,,,,,,,,,,,,,,,,,,,,,,,33,101,33,101,33,101,33,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,05/08/2015,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,90,1786,Lexmark,C792,C792,Managed,,506201940239N,172.20.13.226,,,,,,,,,,,,,,,,,,,,,,,,,,73525,83116,54265,61871,54265,61871,54235,61835,19260,21245,0,0,0,0,0,0,0,0,0,0,0,0,27,90,80,60,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet P2015 Series,1969,Hewlett-Packard,LaserJet P2015 Series,LaserJet P2015 Series,Managed,,CNBJP40847,172.20.13.244,,,,,,,,,,,,,,,,,,,,,,,,,,35329,35819,35329,35819,35329,35819,35329,35819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,"Boise, ID, USA"
Lexmark,1.0,BunzlDistribution,LaserJet 1320 series,2023,Hewlett-Packard,LaserJet 1320 series,LaserJet 1320 series,Managed,,CNRC69L6ZZ,172.20.13.239,,,,,,,,,,,,,,,,,,,,,,,,,,108021,113426,108021,113426,108021,113426,108021,113426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet Professional P1606dn,2105,Hewlett-Packard,LaserJet Professional P1606dn,LaserJet Professional P1606dn,Managed,,VNB3M06818,172.20.13.227,,,,,,,,,,,,,,,,,,,,,,,,,,228189,245304,228189,245304,228189,245304,228189,245304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,Officejet Pro 8610,1387993,Hewlett-Packard,Officejet Pro 8610,Officejet Pro 8610,Managed,,CN4CEEX2JX,172.20.13.153,,,,,,,,,,,,,,,,,,,,,,,,,,998,1394,828,1164,828,1164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,02/13/2015,02/21/2015,05/23/2015,03/03/2015,,
