rmsVendorName,rmsReportVersion,clientName,rmsModelId,deviceId,manufacturer,modelName,rawModelName,managementStatus,managementProgram,serialNumber,ipAddress,isColor,isCopier,isScanner,isFax,isDuplex,ppmMono,ppmColor,introductionDate,adoptionDate,oemTonerBlackSku,oemTonerBlackYield,oemTonerBlackCost,oemTonerCyanSku,oemTonerCyanYield,oemTonerCyanCost,oemTonerMagentaSku,oemTonerMagentaYield,oemTonerMagentaCost,oemTonerYellowSku,oemTonerYellowYield,oemTonerYellowCost,dutyCycle,operatingWattage,standbyWattage,sleepWattage,startMeterLife,endMeterLife,startMeterBlack,endMeterBlack,startMeterColor,endMeterColor,startMeterPrintBlack,endMeterPrintBlack,startMeterPrintColor,endMeterPrintColor,startMeterScan,endMeterScan,startMeterFax,endMeterFax,startMeterCopyBlack,endMeterCopyBlack,startMeterCopyColor,endMeterCopyColor,startMeterA3Black,endMeterA3Black,startMeterA3Color,endMeterA3Color,tonerLevelBlack,tonerLevelCyan,tonerLevelMagenta,tonerLevelYellow,canReportTonerLevels,pageCoverageBlack,pageCoverageCyan,pageCoverageMagenta,pageCoverageYellow,discoveryDate,monitorStartDate,monitorEndDate ,lastSeenDate,location
Lexmark,1.0,BunzlDistribution,InfoPrint 6500,1305,Unknown,InfoPrint 6500,InfoPrint 6500,Managed,,00089600371B,172.26.10.206,,,,,,,,,,,,,,,,,,,,,,,,,,663044622,676649151,663044622,676649151,663044622,676649151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,ZTC ZM400-200dpi ZPL,1459,Zebra Technologies,ZTC ZM400-200dpi ZPL,ZTC ZM400-200dpi ZPL,Managed,,00:1B:78:EF:6D:F6,172.26.10.241,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,11/20/2014,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,iR-ADV C7260,2058,Canon,iR-ADV C7260,iR-ADV C7260,Managed,,LWA01258,172.26.10.235,,,,,,,,,,,,,,,,,,,,,,,,,,340362,402969,287141,338465,287141,338465,60608,72664,44944,54392,63179,77174,0,0,226533,265801,235009,275913,885,1182,722,1074,85,88,88,88,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,(N9442)
Lexmark,1.0,BunzlDistribution,LaserJet Professional P1606dn,1372497,Hewlett-Packard,LaserJet Professional P1606dn,LaserJet Professional P1606dn,Managed,,VNB3B09494,172.26.10.200,,,,,,,,,,,,,,,,,,,,,,,,,,72063,72343,72063,72343,72063,72343,72063,72343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,02/19/2015,02/21/2015,05/23/2015,02/26/2015,,
Lexmark,1.0,BunzlDistribution,99,1774,Lexmark,MS312dn,MS312dn,Managed,,451444LM1H253,172.26.10.201,,,,,,,,,,,,,,,,,,,,,,,,,,4718,6808,4718,6808,4718,6808,4701,6790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,,,,Yes,,,,,04/14/2015,02/21/2015,05/23/2015,05/21/2015,,
Lexmark,1.0,BunzlDistribution,ZTC 105SL-200dpi,1441,Zebra Technologies,ZTC 105SL-200dpi,ZTC 105SL-200dpi,Managed,,00:11:0A:C1:EA:90,172.26.10.219,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,InfoPrint 1852 794ZKWT LR.JP.P413a,1389035,Unknown,InfoPrint 1852 794ZKWT LR.JP.P413a,InfoPrint 1852 794ZKWT LR.JP.P413a,Managed,,794ZKWT-78-14,172.26.10.212,,,,,,,,,,,,,,,,,,,,,,,,,,8500,8537,8500,8537,8500,8537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,InfoPrint 6500,1307,Unknown,InfoPrint 6500,InfoPrint 6500,Managed,,00089600372A,172.26.10.209,,,,,,,,,,,,,,,,,,,,,,,,,,282634852,294009115,282634852,294009115,282634852,294009115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LPT1:,1522,Unknown,LPT1:,LPT1:,Managed,,00:E0:C5:5D:C5:B8,172.26.10.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,Your Location Here
Lexmark,1.0,BunzlDistribution,Phaser 6125N,2055,Xerox,Phaser 6125N,Phaser 6125N,Managed,,LAN034927,172.26.10.230,,,,,,,,,,,,,,,,,,,,,,,,,,62654,66387,30804,32357,30804,32357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,100,15,100,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
