rmsVendorName,rmsReportVersion,clientName,rmsModelId,deviceId,manufacturer,modelName,rawModelName,managementStatus,managementProgram,serialNumber,ipAddress,isColor,isCopier,isScanner,isFax,isDuplex,ppmMono,ppmColor,introductionDate,adoptionDate,oemTonerBlackSku,oemTonerBlackYield,oemTonerBlackCost,oemTonerCyanSku,oemTonerCyanYield,oemTonerCyanCost,oemTonerMagentaSku,oemTonerMagentaYield,oemTonerMagentaCost,oemTonerYellowSku,oemTonerYellowYield,oemTonerYellowCost,dutyCycle,operatingWattage,standbyWattage,sleepWattage,startMeterLife,endMeterLife,startMeterBlack,endMeterBlack,startMeterColor,endMeterColor,startMeterPrintBlack,endMeterPrintBlack,startMeterPrintColor,endMeterPrintColor,startMeterScan,endMeterScan,startMeterFax,endMeterFax,startMeterCopyBlack,endMeterCopyBlack,startMeterCopyColor,endMeterCopyColor,startMeterA3Black,endMeterA3Black,startMeterA3Color,endMeterA3Color,tonerLevelBlack,tonerLevelCyan,tonerLevelMagenta,tonerLevelYellow,canReportTonerLevels,pageCoverageBlack,pageCoverageCyan,pageCoverageMagenta,pageCoverageYellow,discoveryDate,monitorStartDate,monitorEndDate ,lastSeenDate,location
Lexmark,1.0,BunzlDistribution,InfoPrint 6500,1279,Unknown,InfoPrint 6500,InfoPrint 6500,Managed,,00089600343D,172.26.56.202,,,,,,,,,,,,,,,,,,,,,,,,,,39002057,40215073,39002057,40215073,39002057,40215073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,InfoPrint 6500,1594,Unknown,InfoPrint 6500,InfoPrint 6500,Managed,,14060C0103091A,172.26.56.204,,,,,,,,,,,,,,,,,,,,,,,,,,11254250,11539477,11254250,11539477,11254250,11539477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,MINOLTA bizhub C360,1904,Konica,MINOLTA bizhub C360,MINOLTA bizhub C360,Managed,,A0ED011003190,172.26.56.221,,,,,,,,,,,,,,,,,,,,,,,,,,255213,262168,190278,195850,190278,195850,100201,101403,60119,61240,36413,37329,0,0,77054,81124,81870,86202,0,0,0,0,34,5,64,46,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,Officejet Pro 8600 N911a,1921,Hewlett-Packard,Officejet Pro 8600 N911a,Officejet Pro 8600 N911a,Managed,,CN1BB1S3NQ05KC,172.26.56.216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,03/18/2015,,
Lexmark,1.0,BunzlDistribution,ZTC 105SL-200dpi,1362,Zebra Technologies,ZTC 105SL-200dpi,ZTC 105SL-200dpi,Managed,,00:01:E6:3C:6B:93,172.26.56.201,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet 1200,1977,Hewlett-Packard,LaserJet 1200,LaserJet 1200,Managed,,CNCQ427929,172.26.56.207,,,,,,,,,,,,,,,,,,,,,,,,,,118016,128585,118016,128585,118016,128585,0,128585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,InfoPrint 6500,1604,Unknown,InfoPrint 6500,InfoPrint 6500,Managed,,14060C1309381E,172.26.56.210,,,,,,,,,,,,,,,,,,,,,,,,,,98013047,101671504,98013047,101671504,98013047,101671504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,InfoPrint 6500,1320,Unknown,InfoPrint 6500,InfoPrint 6500,Managed,,00089600378E,172.26.56.211,,,,,,,,,,,,,,,,,,,,,,,,,,369745009,376162016,369745009,376162016,369745009,376162016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet 9050,2049,Hewlett-Packard,LaserJet 9050,LaserJet 9050,Managed,,JPRCCCX10S,172.26.56.200,,,,,,,,,,,,,,,,,,,,,,,,,,120863,130193,120863,130193,120863,130193,120863,130193,0,0,0,0,0,0,0,0,0,0,17,17,0,0,57,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet Professional P1606dn,2148,Hewlett-Packard,LaserJet Professional P1606dn,LaserJet Professional P1606dn,Managed,,VND3F68415,172.26.56.214,,,,,,,,,,,,,,,,,,,,,,,,,,2044,2993,2044,2993,2044,2993,2044,2993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet P3010 Series,2134,Hewlett-Packard,LaserJet P3010 Series,LaserJet P3010 Series,Managed,,VNBCC581PK,172.26.56.203,,,,,,,,,,,,,,,,,,,,,,,,,,133433,142357,133433,142357,133433,142357,133433,142357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,MINOLTA bizhub C364e,1912,Konica,MINOLTA bizhub C364e,MINOLTA bizhub C364e,Managed,,A5C1011008199,172.26.56.222,,,,,,,,,,,,,,,,,,,,,,,,,,49732,61007,20946,24965,20946,24965,13904,16598,24348,31462,6030,7585,0,0,5680,6715,10118,11295,0,0,0,0,77,31,61,58,Yes,,,,,03/05/2014,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,InfoPrint 6500,1601,Unknown,InfoPrint 6500,InfoPrint 6500,Managed,,14060C12023620,172.26.56.209,,,,,,,,,,,,,,,,,,,,,,,,,,31725395,32826807,31725395,32826807,31725395,32826807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet P3010 Series,2138,Hewlett-Packard,LaserJet P3010 Series,LaserJet P3010 Series,Managed,,VNBCC7C6N2,172.26.56.215,,,,,,,,,,,,,,,,,,,,,,,,,,180866,197276,180866,197276,180866,197276,180907,197276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
