rmsVendorName,rmsReportVersion,clientName,rmsModelId,deviceId,manufacturer,modelName,rawModelName,managementStatus,managementProgram,serialNumber,ipAddress,isColor,isCopier,isScanner,isFax,isDuplex,ppmMono,ppmColor,introductionDate,adoptionDate,oemTonerBlackSku,oemTonerBlackYield,oemTonerBlackCost,oemTonerCyanSku,oemTonerCyanYield,oemTonerCyanCost,oemTonerMagentaSku,oemTonerMagentaYield,oemTonerMagentaCost,oemTonerYellowSku,oemTonerYellowYield,oemTonerYellowCost,dutyCycle,operatingWattage,standbyWattage,sleepWattage,startMeterLife,endMeterLife,startMeterBlack,endMeterBlack,startMeterColor,endMeterColor,startMeterPrintBlack,endMeterPrintBlack,startMeterPrintColor,endMeterPrintColor,startMeterScan,endMeterScan,startMeterFax,endMeterFax,startMeterCopyBlack,endMeterCopyBlack,startMeterCopyColor,endMeterCopyColor,startMeterA3Black,endMeterA3Black,startMeterA3Color,endMeterA3Color,tonerLevelBlack,tonerLevelCyan,tonerLevelMagenta,tonerLevelYellow,canReportTonerLevels,pageCoverageBlack,pageCoverageCyan,pageCoverageMagenta,pageCoverageYellow,discoveryDate,monitorStartDate,monitorEndDate ,lastSeenDate,location
Lexmark,1.0,BunzlDistribution,Officejet Pro 8500 A910,1918,Hewlett-Packard,Officejet Pro 8500 A910,Officejet Pro 8500 A910,Managed,,CN16ICM1F8,172.22.10.230,,,,,,,,,,,,,,,,,,,,,,,,,,28290,30071,20132,21386,20132,21386,20132,21386,8158,8685,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,Infoprint 1612 622KT5D LE.PH.P121 -- Part Numb....,1791,IBM,Infoprint 1612 622KT5D LE.PH.P121 -- Part Numb....,Infoprint 1612 622KT5D LE.PH.P121 -- Part Numb....,Managed,,622KT5D-69-4,172.22.10.250,,,,,,,,,,,,,,,,,,,,,,,,,,8295,8704,8295,8704,8295,8704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,InfoPrint 1852 792Y4BC LR.JP.P130,1854,Unknown,InfoPrint 1852 792Y4BC LR.JP.P130,InfoPrint 1852 792Y4BC LR.JP.P130,Managed,,792Y4BC-78-14,172.22.10.236,,,,,,,,,,,,,,,,,,,,,,,,,,113008,115552,113008,115552,113008,115552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,SAVIN MP C5502,2160,Ricoh,SAVIN MP C5502,SAVIN MP C5502,Managed,,W542L900088,172.22.10.208,,,,,,,,,,,,,,,,,,,,,,,,,,181725,199475,170535,186485,170535,186485,87655,91893,11166,12966,0,0,5141,5300,77738,89291,77762,89315,0,0,0,0,20,30,50,50,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet P3010 Series,2112,Hewlett-Packard,LaserJet P3010 Series,LaserJet P3010 Series,Managed,,VNB3R37512,172.22.10.238,,,,,,,,,,,,,,,,,,,,,,,,,,1911,2044,1911,2044,1911,2044,1911,2044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,SAVIN MP 5002,2157,Ricoh,SAVIN MP 5002,SAVIN MP 5002,Managed,,W532LC00050,172.22.10.220,,,,,,,,,,,,,,,,,,,,,,,,,,103448,112777,103448,112777,103448,112777,9830,10057,0,0,0,0,0,0,93618,102720,93618,102720,60,60,0,0,50,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,Officejet Pro 8600 N911a,1920,Hewlett-Packard,Officejet Pro 8600 N911a,Officejet Pro 8600 N911a,Managed,,CN1A81S1V305KC,172.22.10.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,InfoPrint 6500,1341,Unknown,InfoPrint 6500,InfoPrint 6500,Managed,,000896003E56,172.22.10.227,,,,,,,,,,,,,,,,,,,,,,,,,,35350913,35759204,35350913,35759204,35350913,35759204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,InfoPrint 6500,1270,Unknown,InfoPrint 6500,InfoPrint 6500,Managed,,000896003420,172.22.10.222,,,,,,,,,,,,,,,,,,,,,,,,,,441419790,443368886,441419790,443368886,441419790,443368886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,No Description Available,1462,Zebra Technologies,ZTC 170XiIIIPlus-300dpi,ZTC 170XiIIIPlus-300dpi,Managed,,00:1B:78:F3:3C:CC,172.22.10.235,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
