rmsVendorName,rmsReportVersion,clientName,rmsModelId,deviceId,manufacturer,modelName,rawModelName,managementStatus,managementProgram,serialNumber,ipAddress,isColor,isCopier,isScanner,isFax,isDuplex,ppmMono,ppmColor,introductionDate,adoptionDate,oemTonerBlackSku,oemTonerBlackYield,oemTonerBlackCost,oemTonerCyanSku,oemTonerCyanYield,oemTonerCyanCost,oemTonerMagentaSku,oemTonerMagentaYield,oemTonerMagentaCost,oemTonerYellowSku,oemTonerYellowYield,oemTonerYellowCost,dutyCycle,operatingWattage,standbyWattage,sleepWattage,startMeterLife,endMeterLife,startMeterBlack,endMeterBlack,startMeterColor,endMeterColor,startMeterPrintBlack,endMeterPrintBlack,startMeterPrintColor,endMeterPrintColor,startMeterScan,endMeterScan,startMeterFax,endMeterFax,startMeterCopyBlack,endMeterCopyBlack,startMeterCopyColor,endMeterCopyColor,startMeterA3Black,endMeterA3Black,startMeterA3Color,endMeterA3Color,tonerLevelBlack,tonerLevelCyan,tonerLevelMagenta,tonerLevelYellow,canReportTonerLevels,pageCoverageBlack,pageCoverageCyan,pageCoverageMagenta,pageCoverageYellow,discoveryDate,monitorStartDate,monitorEndDate ,lastSeenDate,location
Lexmark,1.0,BunzlDistribution,InfoPrint 6500,1304,Unknown,InfoPrint 6500,InfoPrint 6500,Managed,,00089600371A,172.23.35.207,,,,,,,,,,,,,,,,,,,,,,,,,,189870143,189959762,189870143,189959762,189870143,189959762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,InfoPrint 6500,1329,Unknown,InfoPrint 6500,InfoPrint 6500,Managed,,0008960037EB,172.23.35.204,,,,,,,,,,,,,,,,,,,,,,,,,,37198411,38038187,37198411,38038187,37198411,38038187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,T4M(203dpi) Thermal Printer,1429,Zebra Technologies,ZTC 105SL-200dpi,ZTC 105SL-200dpi,Managed,,00:0E:7F:E1:55:E6,172.23.35.211,,,,,,,,,,,,,,,,,,,,,,,,,,0,48680000,0,48680000,0,48680000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet 400 color M451nw,1953,Hewlett-Packard,LaserJet 400 color M451nw,LaserJet 400 color M451nw,Managed,,CNB0500376,172.23.35.212,,,,,,,,,,,,,,,,,,,,,,,,,,112490,123220,59652,64701,59652,64701,59652,64701,52838,58519,0,0,0,0,0,0,0,0,0,0,0,0,45,80,63,64,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,InfoPrint 1872 793VC8W LR.JP.P224a,1863,Unknown,InfoPrint 1872 793VC8W LR.JP.P224a,InfoPrint 1872 793VC8W LR.JP.P224a,Managed,,793VC8W-78-14,172.23.35.206,,,,,,,,,,,,,,,,,,,,,,,,,,135759,138941,135759,138941,135759,138941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,03/20/2015,,
Lexmark,1.0,BunzlDistribution,InfoPrint 1872 793VC8W LR.JP.P224a,1863,Unknown,InfoPrint 1872 793VC8W LR.JP.P224a,InfoPrint 1872 793VC8W LR.JP.P224a,Managed,,793VC8W-78-14,172.23.35.206,,,,,,,,,,,,,,,,,,,,,,,,,,135759,138941,135759,138941,135759,138941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,03/20/2015,,
Lexmark,1.0,BunzlDistribution,Color LaserJet CP2025dn,1973,Hewlett-Packard,Color LaserJet CP2025dn,Color LaserJet CP2025dn,Managed,,CNBSC05904,172.23.35.208,,,,,,,,,,,,,,,,,,,,,,,,,,148096,148245,67960,68038,67960,68038,67960,68038,80136,80207,0,0,0,0,0,0,0,0,0,0,0,0,65,,,51,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,HP Color LaserJet CP2025dn
Lexmark,1.0,BunzlDistribution,Color LaserJet CP2025dn,1973,Hewlett-Packard,Color LaserJet CP2025dn,Color LaserJet CP2025dn,Managed,,CNBSC05904,172.23.35.208,,,,,,,,,,,,,,,,,,,,,,,,,,148096,148245,67960,68038,67960,68038,67960,68038,80136,80207,0,0,0,0,0,0,0,0,0,0,0,0,65,,79,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,HP Color LaserJet CP2025dn
Lexmark,1.0,BunzlDistribution,Color LaserJet CP2025dn,1973,Hewlett-Packard,Color LaserJet CP2025dn,Color LaserJet CP2025dn,Managed,,CNBSC05904,172.23.35.208,,,,,,,,,,,,,,,,,,,,,,,,,,148096,148245,67960,68038,67960,68038,67960,68038,80136,80207,0,0,0,0,0,0,0,0,0,0,0,0,65,60,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,HP Color LaserJet CP2025dn
Lexmark,1.0,BunzlDistribution,InfoPrint 6500,1591,Unknown,InfoPrint 6500,InfoPrint 6500,Managed,,14060B1706251B,172.23.35.205,,,,,,,,,,,,,,,,,,,,,,,,,,78204174,84422692,78204174,84422692,78204174,84422692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,InfoPrint 6500,1315,Unknown,InfoPrint 6500,InfoPrint 6500,Managed,,000896003746,172.23.35.203,,,,,,,,,,,,,,,,,,,,,,,,,,115065125,117276415,115065125,117276415,115065125,117276415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,131,1995517,Lexmark,MS811,MS811,Managed,,40634C6600RRG,172.23.35.206,,,,,,,,,,,,,,,,,,,,,,,,,,78,3022,78,3022,78,3022,178,3022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,,,,Yes,,,,,04/24/2015,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,T4M(203dpi) Thermal Printer,1430,Zebra Technologies,ZTC 105SL-200dpi,ZTC 105SL-200dpi,Managed,,00:0E:7F:E1:65:7E,172.23.35.18,,,,,,,,,,,,,,,,,,,,,,,,,,0,46040000,0,46040000,0,46040000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,131,62353,Lexmark,MS810,MS810,Managed,,40634C6600LL2,172.23.35.200,,,,,,,,,,,,,,,,,,,,,,,,,,7129,,7129,,7129,,,,,,,,,,,,,,,,,,,,,,,,,,,12/22/2014,02/21/2015,05/23/2015,02/16/2015,,
Lexmark,1.0,BunzlDistribution,InfoPrint 1832 79393VR LR.JP.P224a,1859,Unknown,InfoPrint 1832 79393VR LR.JP.P224a,InfoPrint 1832 79393VR LR.JP.P224a,Managed,,79393VR-78-14,172.23.35.200,,,,,,,,,,,,,,,,,,,,,,,,,,288443,,288443,,288443,,,,,,,,,,,,,,,,,,0,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,12/22/2014,,
