rmsVendorName,rmsReportVersion,clientName,rmsModelId,deviceId,manufacturer,modelName,rawModelName,managementStatus,managementProgram,serialNumber,ipAddress,isColor,isCopier,isScanner,isFax,isDuplex,ppmMono,ppmColor,introductionDate,adoptionDate,oemTonerBlackSku,oemTonerBlackYield,oemTonerBlackCost,oemTonerCyanSku,oemTonerCyanYield,oemTonerCyanCost,oemTonerMagentaSku,oemTonerMagentaYield,oemTonerMagentaCost,oemTonerYellowSku,oemTonerYellowYield,oemTonerYellowCost,dutyCycle,operatingWattage,standbyWattage,sleepWattage,startMeterLife,endMeterLife,startMeterBlack,endMeterBlack,startMeterColor,endMeterColor,startMeterPrintBlack,endMeterPrintBlack,startMeterPrintColor,endMeterPrintColor,startMeterScan,endMeterScan,startMeterFax,endMeterFax,startMeterCopyBlack,endMeterCopyBlack,startMeterCopyColor,endMeterCopyColor,startMeterA3Black,endMeterA3Black,startMeterA3Color,endMeterA3Color,tonerLevelBlack,tonerLevelCyan,tonerLevelMagenta,tonerLevelYellow,canReportTonerLevels,pageCoverageBlack,pageCoverageCyan,pageCoverageMagenta,pageCoverageYellow,discoveryDate,monitorStartDate,monitorEndDate ,lastSeenDate,location
Lexmark,1.0,BunzlDistribution,MINOLTA bizhub 751,1906,Konica,MINOLTA bizhub 751,MINOLTA bizhub 751,Managed,,A0PN011002867,172.30.20.206,,,,,,,,,,,,,,,,,,,,,,,,,,948872,969700,948872,969700,948872,969700,731173,740839,0,0,501613,507995,0,0,217699,228861,217699,228861,0,0,0,0,false,,,,Yes,,,,,02/15/2014,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,78,1884,Lexmark,T650,T650,Managed,,795910R,172.30.20.218,,,,,,,,,,,,,,,,,,,,,,,,,,72670,75875,72670,75875,72670,75875,72501,75674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,04/03/2015,,
Lexmark,1.0,BunzlDistribution,ZTC ZM400-200dpi ZPL,1403,Zebra Technologies,ZTC ZM400-200dpi ZPL,ZTC ZM400-200dpi ZPL,Managed,,00:07:4D:24:EB:9E,172.30.20.214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet 4100 Series,2085,Hewlett-Packard,LaserJet 4100 Series,LaserJet 4100 Series,Managed,,USGNJ08179,172.30.20.211,,,,,,,,,,,,,,,,,,,,,,,,,,509511,516956,509511,516956,509511,516956,509516,516956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,,,,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LPT1:,1503,Unknown,LPT1:,LPT1:,Managed,,00:E0:C5:5A:A2:0D,172.30.20.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,03/11/2015,Your Location Here
Lexmark,1.0,BunzlDistribution,InfoPrint 6500,1294,Unknown,InfoPrint 6500,InfoPrint 6500,Managed,,0008960036D8,172.30.20.229,,,,,,,,,,,,,,,,,,,,,,,,,,176328831,182543095,176328831,182543095,176328831,182543095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,MINOLTA bizhub 654,1914,Konica,MINOLTA bizhub 654,MINOLTA bizhub 654,Managed,,A5YN012000117,172.30.20.207,,,,,,,,,,,,,,,,,,,,,,,,,,111989,160099,111989,160099,111989,160099,46479,72147,0,0,19883,27372,0,0,65510,87952,65510,87952,0,0,0,0,82,,,,Yes,,,,,06/23/2014,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,119,1780,Lexmark,C746,C746,Managed,,5026339420TBW,172.30.20.225,,,,,,,,,,,,,,,,,,,,,,,,,,15629,16565,15629,16565,15629,16565,10013,10363,5597,6183,0,0,0,0,0,0,0,0,0,0,0,0,46,30,55,0,Yes,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,InfoPrint 6500,1272,Unknown,InfoPrint 6500,InfoPrint 6500,Managed,,000896003424,172.30.20.200,,,,,,,,,,,,,,,,,,,,,,,,,,32008694,53043298,32008694,53043298,32008694,53043298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,07/30/2013,02/21/2015,05/23/2015,05/22/2015,,
Lexmark,1.0,BunzlDistribution,LaserJet P3010 Series,2150,Hewlett-Packard,LaserJet P3010 Series,LaserJet P3010 Series,Managed,,VND3Q03247,172.30.20.205,,,,,,,,,,,,,,,,,,,,,,,,,,53511,109347,53511,109347,53511,109347,53511,109347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,,,,Yes,,,,,10/20/2014,02/21/2015,05/23/2015,05/22/2015,,
