Name,assetId,isManaged,monitorDate,monitorDate2,lastScanDate,discoveryDate,dutyCycle,ipAddress,isColor,manufacturer,modelName,ppmBlack,ppmColor,serialNumber,tonerLevelBlack,tonerLevelCyan,tonerLevelMagenta,tonerLevelYellow,pageCoverageMonochrome,pageCoverageCyan,pageCoverageMagenta,pageCoverageYellow,startMeterLife,endMeterLife,startMeterBlack,endMeterBlack,startMeterColor,endMeterColor,startMeterPrintBlack,endMeterPrintBlack,startMeterPrintColor,endMeterPrintColor,startMeterCopyBlack,endMeterCopyBlack,startMeterCopyColor,endMeterCopyColor,startMeterScan,endMeterScan,startMeterFax,endMeterFax
4595 v 17. 36.  0 - Printer,,TRUE,8/17/2013 - 11/15/2013,36269,11/15/2013 1:04 AM,05/09/2013 14:24,500000,10.8.41.38,Mono,XEROX,4595,95,,FBG964113,100%,,,,,,,,582946,619215,582946,619215,,,419541,452106,,,163405,167109,,,,,,
Aficio MP C3500,,TRUE,8/17/2013 - 11/15/2013,6382,11/15/2013 1:04 AM,05/09/2013 14:24,,10.8.42.44,Color,RICOH,Aficio MP C3500,35,35,L8986721227,20%,,,,,,,,157658,164040,53955,56001,103703,108039,44161,46082,95989,99576,9777,9902,7714,8463,,,17,17
color LaserJet 3550,,TRUE,8/17/2013 - 11/15/2013,0,6/28/2013 9:11 AM,05/09/2013 14:24,45000,10.8.42.28,Color,HP,Color LaserJet 3550 ,16,16,CNBR401059,79%,20%,13%,60%,,,,,133108,133108,32534,32534,100574,100574,,,,,,,,,,,,
Color LaserJet 3600,,TRUE,8/17/2013 - 11/15/2013,211,11/15/2013 1:04 AM,05/09/2013 14:24,50000,10.8.41.17,Color,HP,Color LaserJet 3600,17,17,CNRBB44942,1%,14%,19%,15%,,,,,8128,8339,1149,1150,6979,7189,,,,,,,,,,,,
color LaserJet 4600,,TRUE,8/17/2013 - 11/15/2013,0,11/15/2013 1:04 AM,05/09/2013 14:24,85000,10.8.43.27,Color,HP,Color LaserJet 4600,17,17,JPBKB24049,23%,62%,98%,79%,,,,,352826,352826,94018,94018,258808,258808,6030,6030,,,,,,,,,,
Color LaserJet 4700,,TRUE,8/17/2013 - 11/15/2013,12866,11/15/2013 1:04 AM,05/09/2013 14:24,100000,10.8.43.20,Color,HP,Color LaserJet 4700,31,,JPTLB74682,42%,65%,20%,81%,,,,,461644,474510,111844,113389,349800,361121,101226,102636,360235,371690,,,,,,,,
Color LaserJet 4700,,TRUE,8/17/2013 - 11/15/2013,884,11/15/2013 1:04 AM,05/09/2013 14:24,100000,10.8.43.35,Color,HP,Color LaserJet 4700,31,,JP8LD13610,65%,31%,62%,50%,,,,,18639,19523,3373,3618,15266,15905,3371,3616,15258,15897,,,,,,,,
Color LaserJet 4700,,TRUE,8/17/2013 - 11/15/2013,5649,11/15/2013 1:04 AM,05/09/2013 14:24,100000,10.8.43.40,Color,HP,Color LaserJet 4700,31,,JP4LB26040,29%,80%,89%,67%,,,,,78859,84508,14126,15007,64733,69501,14121,15002,64705,69476,,,,,,,,
Color LaserJet 4700,,TRUE,8/17/2013 - 11/15/2013,8106,11/15/2013 1:04 AM,05/09/2013 14:24,100000,10.8.43.52,Color,HP,Color LaserJet 4700,31,,JPTLB59061,54%,17%,28%,66%,,,,,150812,158918,27776,33208,123036,125710,27340,32766,121312,123982,,,,,,,,
Color LaserJet CP3505,,TRUE,8/17/2013 - 11/15/2013,1957,11/15/2013 1:04 AM,05/09/2013 14:24,65000,10.8.41.13,Color,HP,LaserJet CP3505,22,22,CNBC87K16P,42%,81%,84%,81%,,,,,13657,15614,3435,4882,10222,10732,3432,4877,10203,10714,,,,,,,,
