Name,assetId,isManaged,monitorDate,monitorDate2,lastScanDate,discoveryDate,dutyCycle,ipAddress,isColor,manufacturer,modelName,ppmBlack,ppmColor,serialNumber,tonerLevelBlack,tonerLevelCyan,tonerLevelMagenta,tonerLevelYellow,pageCoverageMonochrome,pageCoverageCyan,pageCoverageMagenta,pageCoverageYellow,startMeterLife,endMeterLife,startMeterBlack,endMeterBlack,startMeterColor,endMeterColor,startMeterPrintBlack,endMeterPrintBlack,startMeterPrintColor,endMeterPrintColor,startMeterCopyBlack,endMeterCopyBlack,startMeterCopyColor,endMeterCopyColor,startMeterScan,endMeterScan,startMeterFax,endMeterFax
Aficio MP C6000,,FALSE,8/16/2013 - 11/14/2013,69076,11/14/2013 11:37 AM,11/07/2012 11:29,150000,192.168.200.235,Color,RICOH,Aficio MP C6000,60,55,M7990100210,,,,,,,,,1138319,1207395,840188,881825,298131,325570,531539,556199,249965,273468,308649,325626,48166,52102,,41506,,
B4350,,FALSE,8/16/2013 - 11/14/2013,906,10/30/2013 12:39 PM,11/07/2012 11:29,,192.168.200.206,Mono,OKI DATA CORP,Monochrome Device,,,,,,,,,,,,9314,10220,9314,10220,,,,,,,,,,,,,,
B4350,,FALSE,8/16/2013 - 11/14/2013,602,10/30/2013 12:39 PM,11/07/2012 23:44,,192.168.200.207,Mono,OKI DATA CORP,Monochrome Device,,,,,,,,,,,,32570,33172,32570,33172,,,,,,,,,,,,,,
Color LaserJet CM1312nfi MFP,,FALSE,8/16/2013 - 11/14/2013,1732,11/14/2013 11:37 AM,11/07/2012 11:29,30000,192.168.200.238,Color,HP,Color LaserJet CM1312nfi MFP,12,8,CNF8B6TRD1,,,,,,,,,13336,15068,6445,7336,6891,7732,,,,,,,,,,,,
Color LaserJet CP3525,,FALSE,8/16/2013 - 11/14/2013,3361,11/14/2013 11:37 AM,11/07/2012 11:29,,192.168.200.196,Color,HP,Color Device,,,CNCCBC10KQ,,,,,,,,,33522,36883,9464,10502,24058,26381,8529,9469,24982,27403,,,,,,,,
Datacard CD800,,FALSE,8/16/2013 - 11/14/2013,16,11/14/2013 11:37 AM,11/07/2012 11:29,,192.168.200.195,Color,HP,Color Device,,,,,,,,,,,,169,185,,,,,,,,,,,,,,,,
Designjet T2300 PostScript,,FALSE,8/16/2013 - 11/14/2013,149,11/14/2013 11:37 AM,11/07/2012 11:29,,192.168.200.198,Color,HP,Designjet T2300,,,CN14H3K00D,,,,,,,,,821,970,,,,,,,,,,,,,,,,
FS-C2126MFP,D6941,FALSE,8/16/2013 - 11/14/2013,7172,11/14/2013 11:37 AM,11/07/2012 11:29,65000,192.168.200.228,Color,KYOCERA,FS-C2126MFP,28,28,Q5D0700543,57%,20%,27%,26%,,,,,29919,37091,29461,36451,458,640,21326,26106,428,608,8135,10345,30,32,4893,6178,,
LaserJet 1300,,FALSE,8/16/2013 - 11/14/2013,6609,11/14/2013 11:37 AM,11/07/2012 11:29,10000,192.168.200.205,Mono,HP,Laserjet 1300,20,,CNBB180462,,,,,,,,,71368,77977,71368,77977,,,,,,,,,,,,,,
LaserJet 5000 Series,,FALSE,8/16/2013 - 11/14/2013,394,09/09/2013 8:35,11/07/2012 11:29,65000,192.168.200.204,Mono,HP,Laserjet 5000,16,,USB1007257,OK,,,,,,,,181690,182084,181690,182084,,,,,,,,,,,,,,
LaserJet P2055dn,,FALSE,8/16/2013 - 11/14/2013,874,11/14/2013 11:37 AM,11/07/2012 11:29,5000,192.168.200.210,Mono,HP,LaserJet P2055dn,35,,CNB9L63263,,,,,,,,,8106,8980,8106,8980,,,,,,,,,,,,,,
LaserJet Professional P1606dn,,FALSE,8/16/2013 - 11/14/2013,613,11/14/2013 11:37 AM,11/07/2012 11:29,,192.168.200.212,Mono,HP,Monochrome Device,,,B3G76361,,,,,,,,,2973,3586,2973,3586,,,,,,,,,,,,,,
LaserJet Professional P1606dn,,TRUE,8/16/2013 - 11/14/2013,179,11/14/2013 11:37 AM,10/30/2013 3:39 PM,,192.168.200.215,Mono,HP,Monochrome Device,,,D3C39086,,,,,,,,,12,191,12,191,,,,,,,,,,,,,,
LaserJet Professional P1606dn,,TRUE,8/16/2013 - 11/14/2013,160,11/14/2013 11:37 AM,10/30/2013 3:39 PM,,192.168.200.213,Mono,HP,Monochrome Device,,,D3C39088,,,,,,,,,8,168,8,168,,,,,,,,,,,,,,
MF4360-4390,,FALSE,8/16/2013 - 11/14/2013,1281,11/14/2013 11:37 AM,11/07/2012 11:29,,192.168.200.197,Mono,CANON,MF4360-4390,22,,,,,,,,,,,16769,18050,16769,18050,,,,,,,,,,,,,,
NC-6600h, Firmware Ver.1.09  (09.5.12),MID 84UA05,,FALSE,8/16/2013 - 11/14/2013,200,11/14/2013 11:37 AM,11/07/2012 11:29,,192.168.200.209,Mono,Brother,Monochrome Device,,,G9J622811,OK,,,,,,,,2189,2389,2189,2389,,,,,,,,,,,,
Phaser 7400DT,,FALSE,8/16/2013 - 11/14/2013,8321,11/14/2013 11:37 AM,11/07/2012 11:29,150000,192.168.200.211,Color,XEROX,Phaser 7400DT,40,36,WMY500698,,,,,,,,,162221,170542,59754,63000,102467,107542,59754,63000,102467,107542,,,,,,,,
T630,,FALSE,8/16/2013 - 11/14/2013,3943,11/14/2013 11:37 AM,11/07/2012 11:29,175000,192.168.200.200,Mono,LEXMARK,T630,35,,9924PWX,Unknown,,,,,,,,135780,139723,135780,139723,,,,,,,,,,,,,,
