Name,assetId,isManaged,monitorDate,monitorDate2,lastScanDate,discoveryDate,dutyCycle,ipAddress,isColor,manufacturer,modelName,ppmBlack,ppmColor,serialNumber,tonerLevelBlack,tonerLevelCyan,tonerLevelMagenta,tonerLevelYellow,pageCoverageMonochrome,pageCoverageCyan,pageCoverageMagenta,pageCoverageYellow,startMeterLife,endMeterLife,startMeterBlack,endMeterBlack,startMeterColor,endMeterColor,startMeterPrintBlack,endMeterPrintBlack,startMeterPrintColor,endMeterPrintColor,startMeterCopyBlack,endMeterCopyBlack,startMeterCopyColor,endMeterCopyColor,startMeterScan,endMeterScan,startMeterFax,endMeterFax
Color LaserJet 3800,10.139.3.91,TRUE,8/16/2013 - 11/14/2013,1705,11/14/2013 11:54 AM,06/11/2013 12:00,65000,10.139.3.91,Color,HP,Color LaserJet 3800,22,,CNTCH27272,26%,65%,41%,37%,,,,,194279,195984,15129,15415,179150,180569,15128,15414,179121,180540,,,,,,,,
Color LaserJet 3800,10.139.3.18,TRUE,8/16/2013 - 11/14/2013,301,11/14/2013 11:54 AM,06/11/2013 12:00,65000,10.139.3.121,Color,HP,Color LaserJet 3800,22,,CNYCH62279,57%,26%,42%,32%,,,,,107799,108100,17662,17699,90137,90401,17609,17646,90142,90406,,,,,,,,
Color LaserJet 3800,10.139.114.54,TRUE,8/16/2013 - 11/14/2013,612,11/14/2013 11:54 AM,06/11/2013 12:00,65000,10.139.114.54,Color,HP,Color LaserJet 3800,22,,CNWBF16083,83%,19%,47%,69%,,,,,56234,56846,2752,2838,53482,54008,2752,2838,53462,53988,,,,,,,,
color LaserJet 4600,10.139.3.82,TRUE,8/16/2013 - 11/14/2013,0,07/10/2013 14:04,06/11/2013 12:00,85000,10.139.3.82,Color,HP,Color LaserJet 4600,17,17,JPCKC37500,82%,31%,24%,31%,,,,,593274,593274,189999,189999,403275,403275,592544,592544,,,,,,,,,,
color LaserJet 4650,10.139.3.80,TRUE,8/16/2013 - 11/14/2013,0,11/14/2013 11:54 AM,06/11/2013 12:00,85000,10.139.3.80,Color,HP,Color LaserJet 4650,22,22,JPKAD31363,79%,48%,65%,81%,,,,,36370,36370,12610,12610,23760,23760,11973,11973,24385,24385,,,,,,,,
Color LaserJet 4700,10.139.3.52,TRUE,8/16/2013 - 11/14/2013,11367,11/14/2013 11:54 AM,06/11/2013 12:00,100000,10.139.3.52,Color,HP,Color LaserJet 4700,31,,JP8LB63690,2%,62%,3%,99%,,,,,349043,360410,69582,71455,279461,288955,64152,65836,284774,294457,,,,,,,,
Color LaserJet 4730mfp,10.139.3.88,TRUE,8/16/2013 - 11/14/2013,3093,11/14/2013 11:54 AM,06/11/2013 12:00,175000,10.139.3.88,Color,HP,Color LaserJet 4730MFP,30,,JPDLH01061,86%,98%,98%,62%,,,,,450512,453605,98270,99251,352242,354354,95590,96573,354708,356814,,,,,44400,44433,,
color LaserJet 5500,10.139.3.55,TRUE,8/16/2013 - 11/14/2013,0,7/18/2013 9:31 AM,06/11/2013 12:00,30000,10.139.3.55,Color,HP,Color LaserJet 5,10,,JPEK001485,71%,96%,78%,65%,,,,,384132,384132,113721,113721,270411,270411,,,,,,,,,,,,
color LaserJet 5500,10.139.3.70,TRUE,8/16/2013 - 11/14/2013,2095,11/14/2013 11:54 AM,06/11/2013 12:00,30000,10.139.3.70,Color,HP,Color LaserJet 5,10,,JPJR011766,68%,50%,44%,53%,,,,,185821,187916,45058,45606,140763,142310,185748,187846,,,,,,,,,,
color LaserJet 5550,10.139.3.31,TRUE,8/16/2013 - 11/14/2013,7561,11/14/2013 11:54 AM,06/11/2013 12:00,30000,10.139.3.31,Color,HP,Color LaserJet 5,10,,JPSC72F4HL,83%,22%,24%,24%,,,,,488022,495583,129575,131109,358447,364474,119147,120584,368690,374807,,,,,,,,
color LaserJet 5550,10.139.3.74,TRUE,8/16/2013 - 11/14/2013,2953,11/14/2013 11:54 AM,06/11/2013 12:00,30000,10.139.3.74,Color,HP,Color LaserJet 5,10,,JPEC53X03L,70%,84%,63%,72%,,,,,259925,262878,60601,61070,199324,201808,59360,59746,200445,203011,,,,,,,,
