StartDate,EndDate,printermodelid,devicename,ipaddress,Serialnumber,ModelName,Manufacturer,ManagementStatus,is_color,is_copier,is_scanner,is_fax,PPM_Black,PPM_Color,DateIntroduction,DateAdoption,DiscoveryDate,BLACK_ProdCodeOEM,BLACK_Yield,BLACK_ProdCostOEM,CYAN_ProdCodeOEM,CYAN_Yield,CYAN_ProdCostOEM,MAGENTA_ProdCodeOEM,MAGENTA_Yield,MAGENTA_ProdCostOEM,YELLOW_ProdCodeOEM,YELLOW_Yield,YELLOW_ProdCostOEM,DUTY_CYCLE,WattsPowerNormal,WattsPowerIdle,StartMeterLife,EndMeterLife,StartMeterBlack,EndMeterBlack,StartMeterColor,EndMeterColor,StartMeterPrintBlack,EndMeterPrintBlack,StartMeterPrintColor,EndMeterPrintColor,StartMeterCopyBlack,EndMeterCopyBlack,StartMeterCopyColor,EndMeterCopyColor,StartMeterScan,EndMeterScan,StartMeterFax,EndMeterFax,Start11x7,End11x7,TonerLevel_Black,TonerLevel_Cyan,TonerLevel_Magenta,TonerLevel_Yellow,Black Coverage,Cyan Coverage,Magenta Coverage,Yellow Coverage,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,0,(HP JetDirect External)  2A0A,10.202.42.10,,Undefined,Undefined,Unmanaged,True,True,True,True,0,0,1/1/2001 12:00:00 AM,,12/11/2013 7:51:10 AM,generic,0,,Cyan,0,,Magenta,0,,Yellow,0,,100001,0,0,,,,,,,,,,,,,,,,,,,,,,,,,5.00,5.00,5.00,5.00,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,22932,Brother HL-2170W series 2B5A,10.202.43.90,F0J754872,Brother HL-2170W,Brother,Unmanaged,False,False,False,False,23,,12/18/2007 12:00:00 AM,,12/11/2013 7:51:14 AM,TN-330,1500,,,,,,,,,,,10000,460,80,105468,107647,105468,107647,,,,,,,,,,,,,,,,,OK,,,,5.00,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,1002025,Brother HL-2270DW series CD23,10.0.205.35,U62674J3J348394,Brother HL-2270DW,Brother,Unmanaged,False,False,False,False,27,,3/1/2011 12:00:00 AM,,12/13/2013 8:00:00 AM,TN420,1200,,,,,,,,,,,10000,495,1,135,2362,135,2362,,,,,,,,,,,,,,,,,6%,,,,3.89,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,23879,HP Color LaserJet CP2025n 2D17,10.1.45.23,CNGSB46369,Hewlett-Packard Color LaserJet CP2025n,Hewlett-Packard,Unmanaged,True,False,False,False,21,21,9/3/2008 12:00:00 AM,,12/13/2013 8:00:18 AM,CC530A,3500,,CC531A,2800,,CC533A,2800,,CC532A,2800,,40000,260,4,1739,2445,439,862,1301,1583,,,,,,,,,,,,,,,58%,21%,3%,5%,5.08,6.90,8.44,8.44,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,8777,HP LaserJet 100 colorMFP M175nw 5123,10.0.81.35,CND8F4T17X,Hewlett-Packard LaserJet,Hewlett-Packard,Unmanaged,False,False,False,False,,,5/1/1984 12:00:00 AM,,12/11/2013 7:51:10 AM,92285A,3000,,,,,,,,,,,12000,,,43,141,29,91,14,50,25,28,11,43,5,63,5,7,12,81,,,,,78%,91%,92%,92%,21.61,,,,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,1001592,HP LaserJet 400 color M451nw 044E,10.1.4.78,CNDG106179,Hewlett-Packard LaserJet Pro 400 color M451nw,Hewlett-Packard,Unmanaged,True,False,False,False,21,21,1/27/2012 12:00:00 AM,,12/11/2013 7:51:10 AM,CE410A,2200,,CE411A,2600,,CE413A,2600,,CE412A,2600,,40000,425,4,55,267,2,14,53,253,,,,,,,,,,,,,,,71%,90%,88%,89%,11.41,4.55,5.56,5.00,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,1001592,HP LaserJet 400 color M451nw 7E28,10.0.126.40,CNDG110792,Hewlett-Packard LaserJet Pro 400 color M451nw,Hewlett-Packard,Unmanaged,True,False,False,False,21,21,1/27/2012 12:00:00 AM,,12/16/2013 10:03:46 AM,CE410A,2200,,CE411A,2600,,CE413A,2600,,CE412A,2600,,40000,425,4,11,68,3,10,11,58,,,,,,,,,,,,,,,94%,96%,95%,95%,7.53,6.29,8.39,8.39,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,1001592,HP LaserJet 400 color M451nw 7E28,10.0.126.40,CNDG313917,Hewlett-Packard LaserJet Pro 400 color M451nw,Hewlett-Packard,Unmanaged,True,False,False,False,21,21,1/27/2012 12:00:00 AM,,12/13/2013 8:00:09 AM,CE410A,2200,,CE411A,2600,,CE413A,2600,,CE412A,2600,,40000,425,4,5,5,,,5,5,,,,,,,,,,,,,,,98%,99%,98%,98%,5.00,5.00,5.00,5.00,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,1001592,HP LaserJet 400 color M451nw D01F,10.0.208.31,CNDG309828,Hewlett-Packard LaserJet Pro 400 color M451nw,Hewlett-Packard,Unmanaged,True,False,False,False,21,21,1/27/2012 12:00:00 AM,,12/11/2013 7:51:14 AM,CE410A,2200,,CE411A,2600,,CE413A,2600,,CE412A,2600,,40000,425,4,232,364,105,168,127,196,,,,,,,,,,,,,,,76%,86%,87%,87%,7.76,9.75,8.13,5.00,
12/1/2013 12:00:00 AM,1/1/2014 12:00:00 AM,1001594,HP LaserJet 400 colorMFP M475dw 9AC1,10.1.154.193,CND8F7W12W,Hewlett-Packard LaserJet Pro 400 color MFP M475dw,Hewlett-Packard,Unmanaged,True,True,True,True,21,21,1/27/2012 12:00:00 AM,,12/29/2013 8:14:25 AM,CE410A,2200,,CE411A,2600,,CE413A,2600,,CE412A,2600,,40000,465,6,631,661,,,577,607,,,577,607,,,,,,,,,,,54%,79%,74%,75%,6.29,3.71,3.71,3.71,
