StartDate,EndDate,printermodelid,ipaddress,Serialnumber,ModelName,Manufacturer,ManagementStatus,is_color,is_copier,is_scanner,is_fax,PPM_Black,PPM_Color,DateIntroduction,DateAdoption,DiscoveryDate,BLACK_ProdCodeOEM,BLACK_Yield,BLACK_ProdCostOEM,CYAN_ProdCodeOEM,CYAN_Yield,CYAN_ProdCostOEM,MAGENTA_ProdCodeOEM,MAGENTA_Yield,MAGENTA_ProdCostOEM,YELLOW_ProdCodeOEM,YELLOW_Yield,YELLOW_ProdCostOEM,DUTY_CYCLE,WattsPowerNormal,WattsPowerIdle,StartMeterLife,EndMeterLife,StartMeterBlack,EndMeterBlack,StartMeterColor,EndMeterColor,StartMeterPrintBlack,EndMeterPrintBlack,StartMeterPrintColor,EndMeterPrintColor,StartMeterCopyBlack,EndMeterCopyBlack,StartMeterCopyColor,EndMeterCopyColor,StartMeterScan,EndMeterScan,StartMeterFax,EndMeterFax,Start11x7,End11x7,TonerLevel_Black,TonerLevel_Cyan,TonerLevel_Magenta,TonerLevel_Yellow,Black Coverage,Cyan Coverage,Magenta Coverage,Yellow Coverage
11/27/2013 0:00,12/27/2013 23:59,19552,10.64.41.33,F7J154411,Brother HL-5250DN,Brother,Unmanaged,FALSE,FALSE,FALSE,FALSE,30,,10/04/2005 0:00,,6/20/2011 20:47,TN-550,3500,,,,,,,,,,,20000,610,80,54450,54576,54450,54576,,,,,,,,,,,,,,,400,5000,OK,,,,5,,,
11/27/2013 0:00,12/27/2013 23:59,24766,10.64.41.132,G1J770017,Brother MFC-8480DN,Brother,Unmanaged,FALSE,TRUE,TRUE,TRUE,32,,03/10/2009 0:00,,10/05/2011 16:12,TN620,3000,,,,,,,,,,,30000,85,18,6322,6425,6322,6425,,,3681,3759,,,2636,2661,,,3917,3943,,,350,5000,,,,,3,,,
11/27/2013 0:00,12/27/2013 23:59,18821,10.64.41.30,SLQ03833,Canon imageRUNNER 5570,Canon,Unmanaged,FALSE,TRUE,TRUE,FALSE,55,,04/04/2005 0:00,,8/22/2012 15:30,0279B003AA,45000,,,,,,,,,,,220000,1850,,782620,784442,782620,784442,,,,,,,,,,,,,,,5,3214,100%,,,,5,,,
11/27/2013 0:00,12/27/2013 23:59,21221,10.64.41.19,JPRLB43674,Hewlett-Packard Color LaserJet CP4005dn,Hewlett-Packard,Managed,TRUE,FALSE,FALSE,FALSE,30,25,10/03/2006 0:00,,6/20/2011 20:47,CB400A,7500,,CB401A,7500,,CB403A,7500,,CB402A,7500,,80000,567,17,313466,313553,69815,69827,243652,243726,,,,,,,,,,,,,77,6543,21%,89%,8%,61%,8.21,6.2,4.39,4.72
11/27/2013 0:00,12/27/2013 23:59,25860,10.64.41.72,JPBCC5K0YT,Hewlett-Packard Color LaserJet Enterprise CP4025n,Hewlett-Packard,Managed,TRUE,FALSE,FALSE,FALSE,35,35,9/14/2009 0:00,,3/22/2012 19:16,CE260A,8500,,CE261A,11000,,CE263A,11000,,CE262A,11000,,100000,740,72,56570,58992,10201,11560,46369,47432,,,,,,,,,,,,,88,6454,5%,32%,60%,66%,8.36,9.43,5.24,5.24
11/27/2013 0:00,12/27/2013 23:59,15359,10.64.41.23,CNCB229852,Hewlett-Packard LaserJet 1300n,Hewlett-Packard,Managed,FALSE,FALSE,FALSE,FALSE,20,,04/02/2003 0:00,,6/20/2011 20:47,Q2613A,2500,,,,,,,,,,,10000,320,7,139000,140036,139000,140036,,,,,,,,,,,,,,,0,5000,13.60%,,,,2.44,,,
11/27/2013 0:00,12/27/2013 23:59,15359,10.64.41.36,XXXXXXXXXX,Hewlett-Packard LaserJet 1300n,Hewlett-Packard,Managed,FALSE,FALSE,FALSE,FALSE,20,,04/02/2003 0:00,,6/20/2011 20:47,Q2613A,2500,,,,,,,,,,,10000,320,7,,,,,,,,,,,,,,,,,,,654,8973,38.60%,,,,5,,,
11/27/2013 0:00,12/27/2013 23:59,20286,10.64.41.32,CNRJR04997,Hewlett-Packard LaserJet 3390,Hewlett-Packard,Managed,FALSE,TRUE,TRUE,TRUE,22,,01/01/2006 0:00,,6/20/2011 20:47,Q5949X,6000,,,,,,,,,,,10000,355,15,146759,148007,146759,148007,,,142267,143509,,,,,,,,,3040,3044,31,3247,62.30%,,,,5.03,,,
11/27/2013 0:00,12/27/2013 23:59,1001590,10.64.41.249,CNBH108343,Hewlett-Packard LaserJet Pro 400 color M451dn,Hewlett-Packard,Managed,TRUE,FALSE,FALSE,FALSE,21,21,1/27/2012 0:00,,10/16/2012 13:37,CE410A,2200,,CE411A,2600,,CE413A,2600,,CE412A,2600,,40000,425,4,13504,14466,4945,5193,8565,9273,,,,,,,,,,,,,56,3169,2100%,,,,2.68,4.31,4.31,5
11/27/2013 0:00,12/27/2013 23:59,14763,10.64.41.17,USGNM18908,Hewlett-Packard LaserJet 4200,Hewlett-Packard,Managed,FALSE,FALSE,FALSE,FALSE,33,,11/12/2002 0:00,,6/20/2011 20:47,Q1338A,12000,,,,,,,,,,,150000,580,25,75945,75967,75945,75967,,,,,,,,,,,,,,,6500,6543,85%,,,,5,,,
11/27/2013 0:00,12/27/2013 23:59,14763,10.64.41.172,USGNX00615,Hewlett-Packard LaserJet 4200,Hewlett-Packard,Unmanaged,FALSE,FALSE,FALSE,FALSE,33,,11/12/2002 0:00,,9/20/2011 13:03,Q1338A,12000,,,,,,,,,,,150000,580,25,134268,134847,134268,134847,,,,,,,,,,,,,,,300,493,92%,,,,5,,,
11/27/2013 0:00,12/27/2013 23:59,23432,10.64.41.24,CNDXJ02690,Hewlett-Packard LaserJet 4240n,Hewlett-Packard,Managed,FALSE,FALSE,FALSE,FALSE,40,,2/20/2007 0:00,,6/20/2011 20:47,Q5942A,10000,,,,,,,,,,,175000,680,13,104915,105355,104915,105355,,,,,,,,,,,,,,,1354,6453,85%,,,,4.13,,,
11/27/2013 0:00,12/27/2013 23:59,1000603,10.64.41.176,CNB9BD1DTZ,Hewlett-Packard Laserjet Pro M1536dnf,Hewlett-Packard,Managed,FALSE,TRUE,TRUE,TRUE,26,,09/01/2010 0:00,,6/20/2011 20:47,CE278A,2100,,,,,,,,,,,8000,445,5,72642,73728,72642,73728,,,47904,48758,,,23405,23602,,,35358,35686,1341,1368,493,733,63%,,,,5,,,
11/27/2013 0:00,12/27/2013 23:59,23269,10.64.41.20,JPDF215161,Hewlett-Packard LaserJet P4515n,Hewlett-Packard,Managed,FALSE,FALSE,FALSE,FALSE,62,,04/08/2008 0:00,,8/17/2012 15:06,CC364A,10000,,,,,,,,,,,275000,910,12,20867,21504,20867,21504,,,,,,,,,,,,,,,963,4263,100%,,,,6.2,,,
