rmsVendorName,rmsReportVersion,manufacturer,modelName,rmsModelId,deviceId,rawDeviceName,managementStatus,managementProgram,serialNumber,ipAddress,isColor,isCopier,isScanner,isFax,ppmBlack,ppmColor,introductionDate,adoptionDate,oemTonerBlackSku,oemTonerBlackYield,oemTonerCyanSku,oemTonerCyanYield,oemTonerMagentaSku,oemTonerMagentaYield,oemTonerYellowSku,oemTonerYellowYield,dutyCycle,wattsOperating,wattsIdle,startMeterLife,endMeterLife,startMeterBlack,endMeterBlack,startMeterColor,endMeterColor,startMeterPrintBlack,endMeterPrintBlack,startMeterPrintColor,endMeterPrintColor,startMeterCopyBlack,endMeterCopyBlack,startMeterCopyColor,endMeterCopyColor,startMeterScan,endMeterScan,startMeterFax,endMeterFax,startMeterA3Black,endMeterA3Black,startMeterA3Color,endMeterA3Color,tonerLevelBlack,tonerLevelCyan,tonerLevelMagenta,tonerLevelYellow,monoCoverage,colorCoverage,discoveryDate,monitorStartDate,monitorEndDate
PrintFleet 3,1,Undefined,Undefined,00000000-0000-0000-0000-000000000000,09e89f0d-8ae8-41d4-9643-43aa6d68d60d,(HP J8016E) CID:HPLJPDLV1 1E80,Unmanaged,,,10.20.30.128,TRUE,TRUE,TRUE,TRUE,0,0,2001-01-01T00:00:00,,generic,0,Cyan,0,Magenta,0,Yellow,0,100001,0,0,,,,,,,,,,,,,,,6005,9280,,,,,,,,,,,,,2013-01-11T13:21:42.560,2014-01-15T01:33:00,2014-04-15T00:33:00
PrintFleet 3,1,Undefined,Undefined,00000000-0000-0000-0000-000000000000,4885cd0c-f860-b1d5-8f37-472afecc898b,Canon LC800 1E8E,Unmanaged,,MZR03693,10.20.30.142,TRUE,TRUE,TRUE,TRUE,0,0,2001-01-01T00:00:00,,generic,0,Cyan,0,Magenta,0,Yellow,0,100001,0,0,35132,36109,35132,36109,,,,,,,,,,,,,,,,,,,,,,,,,2013-04-28T19:30:59.670,2014-01-15T01:33:00,2014-04-15T00:33:00
PrintFleet 3,1,Hewlett-Packard,Hewlett-Packard LaserJet P4014,b6048e48-d909-4106-b2a8-22d9eaca8a30,bc34fd73-c897-7b5e-1d2d-340cf4ce1150,HP LaserJet P4014 1E97,Managed,,JPDF042528,10.20.30.151,FALSE,FALSE,FALSE,FALSE,43,,2008-04-08T00:00:00,2011-06-22T00:00:00,CC364A,10000,,,,,,,175000,800,17,195677,227934,195677,227934,,,,,,,,,,,,,,,,,,,25%,,,,6.11,,2012-05-25T13:32:16.513,2014-01-15T01:33:00,2014-04-15T00:33:00
PrintFleet 3,1,Hewlett-Packard,Hewlett-Packard LaserJet P4014,b6048e48-d909-4106-b2a8-22d9eaca8a30,a19d1978-c9e9-ae39-998b-d4f29171988e,HP LaserJet P4014 1EA4,Managed,,CNDX330223,10.20.30.164,FALSE,FALSE,FALSE,FALSE,43,,2008-04-08T00:00:00,2010-09-04T00:00:00,CC364A,10000,,,,,,,175000,800,17,120743,132127,120743,132127,,,,,,,,,,,,,,,,,,,30%,,,,5.99,,2012-05-25T13:32:16.960,2014-01-15T01:33:00,2014-04-15T00:33:00
PrintFleet 3,1,Hewlett-Packard,Hewlett-Packard LaserJet Enterprise 500 Color M551dn,156cf848-78c3-4c27-821a-324d4d3558b1,b7b5dfa2-a8de-5777-577e-966f2b2e5f4b,HP LaserJet 500 color M551 1E69,Managed,,CNCCF3D1LX,10.20.30.105,TRUE,FALSE,FALSE,FALSE,33,33,,,CE400A,5500,CE401A,6000,CE403A,6000,CE402A,6000,75000,605,7,35767,70956,12340,23066,23427,47890,,,,,,,,,,,,,,,,,44%,48%,75%,17%,2.66,8.71,2013-06-17T20:53:52.160,2014-01-15T01:33:00,2014-04-15T00:33:00
PrintFleet 3,1,Hewlett-Packard,Hewlett-Packard LaserJet 4000,2907c211-d09c-44be-8663-47a2318e5825,4b093588-25e7-1437-1912-28c58fd914c6,HP LaserJet 4000 Series 1EA1,Unmanaged,,USNC202796,10.20.30.161,FALSE,FALSE,FALSE,FALSE,17,,1997-11-10T00:00:00,,C4127X,10000,,,,,,,65000,330,18,741945,744234,741945,744234,,,,,,,,,,,,,,,,,,,100%,,,,,,2012-05-25T13:32:17.170,2014-01-15T01:33:00,2014-04-15T00:33:00
PrintFleet 3,1,Hewlett-Packard,Hewlett-Packard LaserJet 4000,2907c211-d09c-44be-8663-47a2318e5825,07252d6f-cef3-1027-45b6-ff89ebb58265,HP LaserJet 4000 Series 1E7A,Unmanaged,,USNC162590,10.20.30.109,FALSE,FALSE,FALSE,FALSE,17,,1997-11-10T00:00:00,,C4127X,10000,,,,,,,65000,330,18,605379,607153,605379,607153,,,,,,,,,,,,,,,,,,,100%,,,,,,2013-02-12T13:26:02.140,2014-01-15T01:33:00,2014-04-15T00:33:00
PrintFleet 3,1,Hewlett-Packard,Hewlett-Packard LaserJet P4015,f8623830-d5ae-4bf0-b507-510538f63227,5cc7a474-58a5-385b-0fdd-36906489757f,HP LaserJet P4015 1E33,Managed,,CNDY334186,10.20.30.51,FALSE,FALSE,FALSE,FALSE,62,,2008-04-08T00:00:00,2008-12-24T00:00:00,CC364A,10000,,,,,,,225000,840,18,311296,327071,311296,327071,,,,,,,,,,,,,,,,,,,8%,,,,5.42,,2012-05-25T13:32:17.700,2014-01-15T01:33:00,2014-04-15T00:33:00
PrintFleet 3,1,Hewlett-Packard,Hewlett-Packard Laserjet 4200n,d2f22a47-2880-4696-95de-6d817be52914,1a3f80ca-1900-c9b1-b3b6-6c2cc4604300,hp LaserJet 4200 1EA6,Managed,,USGNS02659,10.20.30.166,FALSE,FALSE,FALSE,FALSE,,,2002-11-12T00:00:00,2003-10-30T00:00:00,Q1338A,12000,,,,,,,150000,580,25,637124,664611,637124,664611,,,,,,,,,,,,,,,,,,,82%,,,,4.08,,2012-05-25T13:32:17.157,2014-01-15T01:33:00,2014-04-15T00:33:00
PrintFleet 3,1,Hewlett-Packard,Hewlett-Packard Laserjet 4200n,d2f22a47-2880-4696-95de-6d817be52914,70942aa7-722e-a373-c77b-70809e483bc8,hp LaserJet 4200 1EA8,Managed,,USGNP02619,10.20.30.168,FALSE,FALSE,FALSE,FALSE,,,2002-11-12T00:00:00,2003-11-11T00:00:00,Q1338A,12000,,,,,,,150000,580,25,564688,590960,564688,590960,,,,,,,,,,,,,,,,,,,91%,,,,3.97,,2013-01-02T15:32:29.260,2014-01-15T01:33:00,2014-04-15T00:33:00
