StartDate,EndDate,printermodelid,ipaddress,Serialnumber,ModelName,Manufacturer,is_color,is_copier,is_scanner,is_fax,PPM_Black,PPM_Color,DateIntroduction,DateAdoption,DiscoveryDate,BLACK_ProdCodeOEM,BLACK_Yield,BLACK_ProdCostOEM,CYAN_ProdCodeOEM,CYAN_Yield,CYAN_ProdCostOEM,MAGENTA_ProdCodeOEM,MAGENTA_Yield,MAGENTA_ProdCostOEM,YELLOW_ProdCodeOEM,YELLOW_Yield,YELLOW_ProdCostOEM,DUTY_CYCLE,WattsPowerNormal,WattsPowerIdle,StartMeterLife,EndMeterLife,StartMeterBlack,EndMeterBlack,StartMeterColor,EndMeterColor,StartMeterPrintBlack,EndMeterPrintBlack,StartMeterPrintColor,EndMeterPrintColor,StartMeterCopyBlack,EndMeterCopyBlack,StartMeterCopyColor,EndMeterCopyColor,StartMeterScan,EndMeterScan,StartMeterFax,EndMeterFax,TonerLevel_Black,TonerLevel_Cyan,TonerLevel_Magenta,TonerLevel_Yellow,
10/15/2011 12:00:00 AM,11/21/2011 11:59:00 PM,5898,172.16.3.13,,Hewlett-Packard DeskJet 1000Cse,Hewlett-Packard,True,False,False,False,6,4,6/30/1997 12:00:00 AM,,10/18/2011 12:49:20 PM,51641A,930,36.99,51641A,461,,51641A,461,,51641A,461,,1000,30,4,2738,2930,2738,2930,,,,,,,,,,,,,,,,,,,
10/15/2011 12:00:00 AM,11/21/2011 11:59:00 PM,24764,172.16.3.191,J0J747067,Brother HL-5370DW,Brother,False,False,False,False,32,,3/10/2009 12:00:00 AM,,10/14/2011 11:57:20 AM,TN620,3000,,,,,,,,,,,30000,75,6,3176,3714,3176,3714,,,,,,,,,,,,,,,OK,,,,
10/15/2011 12:00:00 AM,11/21/2011 11:59:00 PM,16460,172.16.3.3,G7J219141,Brother HL-6050D,Brother,False,False,False,False,25,,12/15/2003 12:00:00 AM,,10/14/2011 11:57:20 AM,TN-670,7500,99.99,,,,,,,,,,20000,600,110,29053,29475,29053,29475,,,,,,,,,,,,,,,OK,,,,
10/15/2011 12:00:00 AM,11/21/2011 11:59:00 PM,16460,172.16.3.6,J6J206443,Brother HL-6050D,Brother,False,False,False,False,25,,12/15/2003 12:00:00 AM,,10/14/2011 11:57:20 AM,TN-670,7500,99.99,,,,,,,,,,20000,600,110,121286,121542,121286,121542,,,,,,,,,,,,,,,OK,,,,
10/15/2011 12:00:00 AM,11/21/2011 11:59:00 PM,25175,172.16.3.7,BROB9F298608,Brother MFC-6890CDW,Brother,True,True,True,True,35,28,6/2/2009 12:00:00 AM,,10/14/2011 11:57:20 AM,,,,,,,,,,,,,5000,28,6,6312,6516,705,765,5607,5751,,,,,346,353,144,145,,,363,410,60%,60%,100%,95%,
10/15/2011 12:00:00 AM,11/21/2011 11:59:00 PM,21076,172.16.3.19,927229900,Dell Color Laser Printer 3010CN,Dell,True,False,False,False,25,5,6/20/2006 12:00:00 AM,,10/18/2011 12:13:19 AM,341-3568,2000,,341-3571,2000,,341-3570,2000,,341-3569,2000,,45000,340,82,6327,6331,6327,6331,,,,,,,,,,,,,,,10%,30%,80%,80%,
10/15/2011 12:00:00 AM,11/21/2011 11:59:00 PM,19582,172.16.3.21,72CGW9H,Dell Laser Printer 1710n,Dell,False,False,False,False,26,,10/6/2005 12:00:00 AM,,10/14/2011 11:57:20 AM,310-7020,3000,69.99,,,,,,,,,,15000,600,20,89193,93364,89193,93364,,,,,,,,,,,,,,,,,,,
10/15/2011 12:00:00 AM,11/21/2011 11:59:00 PM,22841,172.16.3.26,621ZM6D-70-13,Dell Laser Printer 1720dn,Dell,False,False,False,False,30,,3/7/2007 12:00:00 AM,,10/14/2011 11:57:21 AM,310-8699,3000,73.99,,,,,,,,,,25000,400,10,29168,30856,29168,30856,,,,,,,,,,,,,,,,,,,
10/15/2011 12:00:00 AM,11/21/2011 11:59:00 PM,22841,172.16.4.235,622VMCH-70-13,Dell Laser Printer 1720dn,Dell,False,False,False,False,30,,3/7/2007 12:00:00 AM,,10/14/2011 11:57:21 AM,310-8699,3000,73.99,,,,,,,,,,25000,400,10,43236,44297,43236,44297,,,,,,,,,,,,,,,30%,,,,
10/15/2011 12:00:00 AM,11/21/2011 11:59:00 PM,19927,172.16.3.32,MY8B4CK24S04Q9,Hewlett-Packard Deskjet 6940,Hewlett-Packard,True,False,False,False,36,27,1/10/2006 12:00:00 AM,,10/14/2011 11:57:20 AM,C9364EE,420,24.99,C9363EE,560,,C9362EE,560,,C9363EE,560,,5000,50,3,4528,4661,4528,4661,,,,,,,,,,,,,,,,,,,
10/15/2011 12:00:00 AM,11/21/2011 11:59:00 PM,17670,172.16.4.230,CNHC59803B,Hewlett-Packard LaserJet 1320,Hewlett-Packard,False,False,False,False,22,,10/5/2004 12:00:00 AM,,10/14/2011 11:57:21 AM,Q5949X,6000,130.99,,,,,,,,,,10000,345,6,99217,99423,99217,99423,,,,,,,,,,,,,,,22.1%,,,,
10/15/2011 12:00:00 AM,11/21/2011 11:59:00 PM,8346,172.16.3.1,USGX110841,Hewlett-Packard LaserJet 2100,Hewlett-Packard,False,False,False,False,10,,2/1/1999 12:00:00 AM,,10/16/2011 12:47:21 AM,C4096A,5000,96,,,,,,,,,,15000,225,14,9981,9984,9981,9984,,,,,,,,,,,,,,,,,,,
10/15/2011 12:00:00 AM,11/21/2011 11:59:00 PM,8346,172.16.3.9,USGX112096,Hewlett-Packard LaserJet 2100,Hewlett-Packard,False,False,False,False,10,,2/1/1999 12:00:00 AM,,10/14/2011 11:57:21 AM,C4096A,5000,96,,,,,,,,,,15000,225,14,38983,41100,38983,41100,,,,,,,,,,,,,,,,,,,
10/15/2011 12:00:00 AM,11/21/2011 11:59:00 PM,6335,172.16.3.4,USNC163512,Hewlett-Packard LaserJet 4000,Hewlett-Packard,False,False,False,False,17,,11/10/1997 12:00:00 AM,,10/14/2011 11:57:20 AM,C4127X,10000,127,,,,,,,,,,65000,330,18,87835,88074,87835,88074,,,,,,,,,,,,,,,OK,,,,
10/15/2011 12:00:00 AM,11/21/2011 11:59:00 PM,11451,172.16.4.229,USLNH20710,Hewlett-Packard LaserJet 4100,Hewlett-Packard,False,False,False,False,25,,3/20/2001 12:00:00 AM,,10/14/2011 11:57:21 AM,C8061A,10000,127,,,,,,,,,,150000,450,17,120658,130421,120658,130421,,,,,,,,,,,,,,,100%,,,,
10/15/2011 12:00:00 AM,11/21/2011 11:59:00 PM,24009,172.16.3.48,CNB1817220,Hewlett-Packard LaserJet P2055dn,Hewlett-Packard,False,False,False,False,35,,10/7/2008 12:00:00 AM,,10/14/2011 11:57:20 AM,CE505X,6500,146,,,,,,,,,,50000,570,8,27662,28895,27662,28895,,,,,,,,,,,,,,,55%,,,,
10/15/2011 12:00:00 AM,11/21/2011 11:59:00 PM,23294,172.16.3.37,CNDX801100,Hewlett-Packard LaserJet P4014,Hewlett-Packard,False,False,False,False,43,,4/8/2008 12:00:00 AM,,10/14/2011 11:57:21 AM,CC364A,10000,154.99,,,,,,,,,,175000,800,17,16380,44666,16380,44666,,,,,,,,,,,,,,,4%,,,,
