Toner ID,Manufacturer,SKU,Color,Yield,System Price,Dealer SKU,New Price
6,Brother,TN670,BLACK,7500,86,TN670,92.44
54,Brother,TN670,BLACK,7500,86,TN670,92.44
8,Dell,RF223,BLACK,5000,81.98,#N/A,#N/A
34,Hewlett-Packard,Q6000A,BLACK,2500,67.98,Q6000A,80.53
35,Hewlett-Packard,Q6001A,CYAN,2000,74.21,Q6001A,87.9
36,Hewlett-Packard,Q6003A,MAGENTA,2000,74.21,Q6003A,87.9
37,Hewlett-Packard,Q6002A,YELLOW,2000,74.21,Q6002A,87.9
39,Hewlett-Packard,Q3960A,BLACK,5000,81,Q3960A,87.9
40,Hewlett-Packard,Q3971A,CYAN,2000,69,Q3971A,82
41,Hewlett-Packard,Q3963A,MAGENTA,4000,97,Q3963A,122.87
42,Hewlett-Packard,Q3962A,YELLOW,4000,98,Q3962A,127.62
47,Hewlett-Packard,Q6470A,BLACK,6000,124.11,Q6470A,139.09
48,Hewlett-Packard,Q6471A,CYAN,4000,131,Q6471A,138.63
49,Hewlett-Packard,Q6473A,MAGENTA,4000,131,Q6473A,138.63
50,Hewlett-Packard,Q6472A,YELLOW,4000,129,Q6472A,138.63
52,Hewlett-Packard,Q7581A,CYAN,6000,155.83,Q7581A,178.89
53,Hewlett-Packard,Q7583A,MAGENTA,6000,155.83,Q7583A,178.89
